Math_Interest,Science_Interest,Literature_Interest,Coding_Interest,Teamwork,Creativity,Helping_Interest,Leadership,Travel_Interest,StableJob_Interest,Business_Interest,Communication_Skills,Career
1,1,5,1,5,1,1,4,4,5,3,5,Journalist
2,3,5,5,4,2,4,2,5,4,4,4,Journalist
4,1,5,1,2,1,5,3,3,2,5,3,Psychologist
2,1,3,5,2,2,4,3,2,5,5,4,Teacher
4,4,2,1,5,3,3,4,2,2,4,4,Entrepreneur
1,4,5,2,3,3,5,3,3,5,4,4,Doctor
2,5,4,5,2,3,4,4,4,4,3,1,Doctor
5,2,1,3,5,2,4,2,5,4,3,3,Police Officer
1,5,4,2,3,3,3,1,3,4,2,3,Entrepreneur
4,1,4,1,1,5,3,2,1,4,2,3,Artist
3,5,1,3,1,1,2,3,5,4,2,1,Police Officer
5,1,1,4,1,4,2,2,3,5,4,3,Software Engineer
3,1,4,3,3,5,2,5,2,2,4,5,Artist
1,4,3,5,5,3,1,1,4,5,4,4,Police Officer
4,4,4,4,2,3,3,2,4,3,5,5,Software Engineer
5,2,2,1,2,5,3,5,4,4,5,5,Entrepreneur
5,4,4,3,4,3,3,3,2,2,4,1,Engineer
3,4,3,2,3,3,1,1,4,5,3,4,Police Officer
3,5,3,2,3,3,2,2,2,4,2,2,Engineer
1,4,2,5,4,4,1,4,2,3,3,5,Designer
3,4,4,4,1,1,3,5,3,3,1,1,Musician
3,5,2,5,1,4,1,3,1,2,5,5,Designer
5,1,1,4,4,3,3,5,4,4,1,5,Software Engineer
5,4,5,4,4,1,2,1,3,3,2,3,Software Engineer
1,1,5,4,4,3,5,1,1,3,2,2,Psychologist
4,2,4,5,1,4,1,3,3,5,5,5,Software Engineer
1,3,5,4,4,2,2,1,5,5,3,2,Police Officer
5,3,1,2,5,4,2,1,3,2,5,3,Athlete
3,5,2,4,5,2,4,1,2,1,3,2,Doctor
2,3,4,1,5,4,3,2,1,1,5,5,Artist
2,2,2,1,4,4,2,4,5,2,3,2,Pilot
5,1,3,5,1,2,4,4,1,2,2,5,Software Engineer
4,1,4,4,3,1,3,4,3,1,1,3,Software Engineer
1,3,1,1,1,3,1,2,1,4,4,5,Designer
1,4,1,3,5,1,4,3,2,3,1,5,Doctor
4,5,4,2,5,1,4,5,1,2,1,1,Doctor
2,4,2,2,2,1,5,3,1,5,3,1,Doctor
5,3,1,5,1,5,3,3,4,1,4,5,Software Engineer
2,5,2,3,5,5,1,1,3,3,5,1,Psychologist
3,3,2,2,3,5,3,2,1,4,2,4,Musician
1,2,2,2,5,3,5,4,1,4,2,2,Lawyer
2,1,1,5,3,3,4,2,5,4,5,5,Teacher
4,5,3,5,4,3,2,5,2,5,2,3,Software Engineer
1,4,2,1,2,5,4,1,4,1,4,2,Doctor
3,1,4,5,3,5,3,1,4,3,5,3,Artist
4,1,5,4,1,2,5,5,2,5,1,2,Software Engineer
1,1,2,3,3,2,2,1,5,4,1,1,Police Officer
4,2,1,4,5,5,5,3,5,1,4,1,Software Engineer
2,5,2,4,5,3,4,2,5,1,1,3,Doctor
4,1,3,5,1,2,2,4,5,4,1,2,Software Engineer
1,2,3,5,2,2,3,5,2,1,2,2,Engineer
